artist,artistCountry,regionGroup,diaspora
Mr. Bady,Nigeria,West Africa,FALSE
Mwanga,Unknown,Unknown,FALSE
Neaj,South Africa,Southern Africa,FALSE
Nelson Freitas,Netherlands,Western Europe,TRUE
Nikko Mad,Brazil,South America,TRUE
Nikos,Nigeria,West Africa,FALSE
Ntokzin,South Africa,Southern Africa,FALSE
ODUMODUBLVCK,Nigeria,West Africa,FALSE
OOSHA,Nigeria,West Africa,FALSE
ORODE,Nigeria,West Africa,FALSE
Odeal,United Kingdom,Northern Europe,TRUE
Odumodublvck,Nigeria,West Africa,FALSE
Odunsi,Nigeria,West Africa,FALSE
Odunsi (The Engine),Nigeria,West Africa,FALSE
Offica,Ireland/Nigeria,Europe,FALSE
Olamide,Nigeria,West Africa,FALSE
Omah Lay,Nigeria,West Africa,FALSE
Oscar Mbo,South Africa,Southern Africa,FALSE
Oxlade,Nigeria,West Africa,FALSE
PJ Vibes,Nigeria,West Africa,FALSE
Pabi Cooper,South Africa,Southern Africa,FALSE
PapaRaZzle,South Africa,Southern Africa,FALSE
Pemifemi,Nigeria,West Africa,FALSE
Pheelz,Nigeria,West Africa,FALSE
